id,type,source,family,state,instructions,criteria,label
accept_choice_001,choice,manual,meaning,"""送信した請求書の宛名が別の会社になっていました。正しい社名で作り直してください。""",依頼の中心を選ぶ。,"{""option_0"":""請求書の修正"",""option_1"":""商品の返品""}",option_0
accept_choice_002,choice,manual,negation,"""来月の予約を取り消したいのではなく、同じ日の開始時刻だけ午後に変えたい。""",希望する操作を選ぶ。,"{""option_0"":""予約時刻の変更"",""option_1"":""予約の取消"",""option_2"":""新規予約""}",option_0
accept_choice_003,choice,manual,meaning,"{""配送"":""到着済み"",""箱"":""無傷"",""中身"":""注文した青色ではなく赤色""}",問い合わせの原因を選ぶ。,"{""option_0"":""色違い"",""option_1"":""未着"",""option_2"":""外箱破損"",""option_3"":""数量不足""}",option_0
accept_choice_004,choice,manual,meaning,"""新しいパスワードは設定できたが、届いた認証番号を入力すると期限切れと言われる。""",いま解決すべき問題を選ぶ。,"{""option_0"":""認証番号の期限"",""option_1"":""登録名"",""option_2"":""請求額"",""option_3"":""住所変更"",""option_4"":""解約""}",option_0
accept_choice_005,choice,manual,history,"""先週の一覧には担当が田中とあった。今朝、田中から森への正式な引継ぎが完了した。佐藤は補助である。\n\n補足の運用メモ: 担当者は連絡の取りまとめ、作業の割り振り、最終確認を行う。補助者は資料の整理を手伝うが、主担当の役割は引き受けない。今回の案件は来週火曜日の定例会で扱う予定。会議室は2階の小会議室で、入口横に資料を置く。出席人数はまだ確定していない。古い一覧表は記録として残しているため、最新版の引継ぎ記録を優先する。""",現在の主担当を選ぶ。,"{""option_0"":""森"",""option_1"":""田中"",""option_2"":""佐藤"",""option_3"":""担当なし"",""option_4"":""田中と佐藤"",""option_5"":""不明""}",option_0
accept_choice_006,choice,manual,scope,"{""会議資料"":[""予算案"",""採用案""],""決定"":""予算案だけ承認"",""採用案"":""次回継続""}",まだ判断が終わっていないものを選ぶ。,"{""option_0"":""採用案"",""option_1"":""予算案"",""option_2"":""両方承認済み"",""option_3"":""両方否決"",""option_4"":""会場"",""option_5"":""議長"",""option_6"":""議事録の日付""}",option_0
accept_choice_007,choice,manual,priority,"""入口は北側が工事中、東側は従業員専用。一般客は南側入口を利用するよう案内されている。""",一般客に案内すべき入口はどれか。,"{""option_0"":""南"",""option_1"":""北"",""option_2"":""北東"",""option_3"":""東"",""option_4"":""南東"",""option_5"":""南西"",""option_6"":""西"",""option_7"":""北西""}",option_0
accept_choice_008,choice,manual,insufficient,"""「画面が暗い」という報告のみがある。電源状態や明るさ設定は調べていない。""",機器故障と断定できるか。,"{""option_0"":""故障と断定できる"",""option_1"":""情報が足りない""}",option_1
accept_choice_009,choice,manual,arithmetic,"""1冊240円のノートを3冊買った。支払いは1000円だった。""",おつりを選ぶ。,"{""option_0"":""720円"",""option_1"":""280円"",""option_2"":""760円""}",option_1
accept_choice_010,choice,manual,arithmetic,"{""入庫"":18,""出庫"":7,""開始在庫"":4}",現在の在庫を選ぶ。,"{""option_0"":""11"",""option_1"":""15"",""option_2"":""18"",""option_3"":""29""}",option_1
accept_choice_011,choice,manual,priority,"""対応順は「安全に関わる停止」「作業不能」「見た目の問題」の順。報告は、アイコンのずれ、全員が保存できない障害、資料名の誤字。安全に関わる停止はない。\n\n受付メモ: 各報告には受付時刻と担当候補を付ける。誤字の報告が最も早く届き、保存できない障害は2番目、アイコンのずれは最後に届いた。受付時刻が早いことだけを理由に、定めた対応の優先順位を変えてはいけない。利用者への説明文は3件分とも作成済みである。作業を開始するときは担当者欄を埋め、解決後は確認結果を残す。""",最初に対応する報告を選ぶ。,"{""option_0"":""アイコンのずれ"",""option_1"":""保存できない障害"",""option_2"":""資料名の誤字"",""option_3"":""全部同時"",""option_4"":""対応しない""}",option_1
accept_choice_012,choice,manual,conjunction,"""商品Aは軽いが充電式、Bは重いが乾電池式、Cは軽く乾電池式。購入条件は「軽いこと」と「乾電池式」の両方。""",条件に合う商品を選ぶ。,"{""option_0"":""A"",""option_1"":""C"",""option_2"":""B"",""option_3"":""AとB"",""option_4"":""どれも不可"",""option_5"":""情報不足""}",option_1
accept_choice_013,choice,manual,sequence,"""作業は準備→加工→検査→梱包。加工が終了し、検査はまだ始めていない。""",次に行う工程を選ぶ。,"{""option_0"":""準備"",""option_1"":""検査"",""option_2"":""加工"",""option_3"":""梱包"",""option_4"":""出荷"",""option_5"":""廃棄"",""option_6"":""再注文""}",option_1
accept_choice_014,choice,manual,scope,"{""空席"":{""A"":0,""B"":2,""C"":1},""希望"":""3人が同じ席区画に入れること""}",いま条件を満たす区画を選ぶ。,"{""option_0"":""A"",""option_1"":""満たす区画はない"",""option_2"":""B"",""option_3"":""C"",""option_4"":""AとBを合わせる"",""option_5"":""BとCに分かれる"",""option_6"":""どの区画でもよい"",""option_7"":""予約を取消済み""}",option_1
accept_choice_015,choice,manual,meaning,"""「この案で進めましょう。ただし公開前に画像だけ差し替えてください」""",発言者は案の採用に賛成しているか。,"{""option_0"":""条件付きで賛成"",""option_1"":""案全体に反対""}",option_0
accept_choice_016,choice,manual,meaning,"""「返事が遅れてすみません。今回は日程が合わないため、参加を見送ります」""",参加についての結論を選ぶ。,"{""option_0"":""参加する"",""option_1"":""まだ決めていない"",""option_2"":""参加しない""}",option_2
accept_choice_017,choice,manual,exception,"""店は毎日10時から18時まで受付する。ただし17時以降は予約客だけ受け付ける。現在17時30分で、客に予約はない。""",現在の受付可否を選ぶ。,"{""option_0"":""受付可能"",""option_1"":""営業時間外のため受付不可"",""option_2"":""予約がないため受付不可"",""option_3"":""時間が不明""}",option_2
accept_choice_018,choice,manual,intersection,"""高橋は水曜と金曜、吉田は火曜と金曜、鈴木は月曜と金曜に参加できる。""",3人全員が参加できる曜日を選ぶ。,"{""option_0"":""月曜"",""option_1"":""火曜"",""option_2"":""金曜"",""option_3"":""水曜"",""option_4"":""木曜""}",option_2
accept_choice_019,choice,manual,scope,"{""注文"":[""パン"",""牛乳""],""受領"":[""パン""],""牛乳"":""品切れで未提供""}",受け取っていない注文品を選ぶ。,"{""option_0"":""パン"",""option_1"":""卵"",""option_2"":""牛乳"",""option_3"":""水"",""option_4"":""何もない"",""option_5"":""注文全体が不明""}",option_2
accept_choice_020,choice,manual,distractor,"""案内には「青いカードを持つ人は窓口3へ」とある。利用者のカードは青色で、番号は7。""",案内に従った窓口を選ぶ。,"{""option_0"":""窓口1"",""option_1"":""窓口2"",""option_2"":""窓口3"",""option_3"":""窓口4"",""option_4"":""窓口5"",""option_5"":""窓口6"",""option_6"":""窓口7""}",option_2
accept_choice_021,choice,manual,negation,"""材料は木材。色は銀色に塗装されている。金属製ではない。""",材料による分類を選ぶ。,"{""option_0"":""鉄"",""option_1"":""アルミ"",""option_2"":""木"",""option_3"":""銅"",""option_4"":""ガラス"",""option_5"":""紙"",""option_6"":""布"",""option_7"":""プラスチック""}",option_2
accept_choice_022,choice,manual,history,"""「すぐ直してくれて助かりました。今は問題なく使えます」""",現在も問題が継続しているという報告か。,"{""option_0"":""継続している"",""option_1"":""解決している""}",option_1
accept_choice_023,choice,manual,insufficient,"{""申請"":""提出済み"",""承認"":null,""支払"":""未実施""}",現在の段階を選ぶ。承認の記録がなければ未承認として扱う。,"{""option_0"":""承認待ち"",""option_1"":""支払完了"",""option_2"":""申請前""}",option_0
accept_choice_024,choice,manual,arithmetic,"""各箱に4本入る。13本のびんを全部入れたい。""",必要な箱の最小数を選ぶ。,"{""option_0"":""2箱"",""option_1"":""3箱"",""option_2"":""5箱"",""option_3"":""4箱""}",option_3
accept_choice_025,choice,manual,arithmetic,"""所要時間は移動20分、受付10分。受付を9時に終える必要がある。待ち時間はない。""",出発できる最も遅い時刻を選ぶ。,"{""option_0"":""8時20分"",""option_1"":""8時40分"",""option_2"":""8時50分"",""option_3"":""8時30分"",""option_4"":""9時""}",option_3
