id,type,source,family,state,instructions,criteria,label
manual_v2_choice_001,choice,manual,meaning,"""料理教室で「手順は分かったので、実際に手を動かして試したい」と話している。""",いま希望している活動はどちらか。,"{""option_0"": ""実習"", ""option_1"": ""追加の講義""}","""option_0"""
manual_v2_choice_002,choice,manual,negation,"""演奏者は「音の高さを変えず、演奏する速さだけ落としたい」と言った。""",変更したい要素を選ぶ。,"{""option_0"": ""演奏速度"", ""option_1"": ""音程"", ""option_2"": ""曲の長さの指定""}","""option_0"""
manual_v2_choice_003,choice,manual,meaning,"""散歩の記録には「出発点へ戻る道が分からなくなった。目印を見つけたい」とある。""",必要としている支援を選ぶ。,"{""option_0"": ""帰り道の案内"", ""option_1"": ""靴の修理"", ""option_2"": ""雨具の購入"", ""option_3"": ""水筒の洗浄""}","""option_0"""
manual_v2_choice_004,choice,manual,meaning,"""陶芸家は「色は狙い通りだが、縁の形だけ描いた図と違う」と述べた。""",図と違うとされた点を選ぶ。,"{""option_0"": ""縁の形"", ""option_1"": ""底の色"", ""option_2"": ""作品名"", ""option_3"": ""展示日"", ""option_4"": ""重さ""}","""option_0"""
manual_v2_choice_005,choice,manual,history,"""盤上のコマは最初持ち主が葵だった。蓮に譲られ、その後蓮は澪へ交換として渡した。葵には別のコマが戻った。\n\n遊戯の記録係は、手渡されたコマの持ち主だけを追跡している。コマの色や盤上の位置を変えても、持ち主は変わらない。譲渡と交換は受け渡しが済んだ時点で成立する。今回の記録に登場する受け渡しは全て完了しており、保留中の取引はない。最後のやり取りの後には、三人で別の駒を並べて次の遊びの準備をしたが、対象のコマを再び渡すことはなかった。""",対象のコマを最後に受け取った人を選ぶ。,"{""option_0"": ""澪"", ""option_1"": ""葵"", ""option_2"": ""蓮"", ""option_3"": ""葵と蓮"", ""option_4"": ""全員"", ""option_5"": ""不明""}","""option_0"""
manual_v2_choice_006,choice,manual,scope,"""原稿の本文と注釈を別々に扱う。編集者は「注釈の番号だけ振り直し、本文は今のまま」と指定した。""",今回変更するものを選ぶ。,"{""option_0"": ""注釈の番号"", ""option_1"": ""本文の語順"", ""option_2"": ""題名"", ""option_3"": ""著者名"", ""option_4"": ""章の順"", ""option_5"": ""字体全体"", ""option_6"": ""参考図""}","""option_0"""
manual_v2_choice_007,choice,manual,priority,"""遊戯の行動規則は、通路が塞がれていれば通路を開き、開いていれば宝箱を調べる。通路は塞がれており、宝箱も見つかっている。""",規則で先に行う行動を選ぶ。,"{""option_0"": ""通路を開く"", ""option_1"": ""宝箱を調べる"", ""option_2"": ""眠る"", ""option_3"": ""歌う"", ""option_4"": ""道具を捨てる"", ""option_5"": ""戻る"", ""option_6"": ""旗を立てる"", ""option_7"": ""終了する""}","""option_0"""
manual_v2_choice_008,choice,manual,insufficient,"""封じた袋を手に取ったが、中を見たり数えたりしていない。袋の重さだけが分かる。中身の単位重量は不明。""",中身が正確に何個かを判断できるか。,"{""option_0"": ""判断できる"", ""option_1"": ""情報が足りない""}","""option_1"""
manual_v2_choice_009,choice,manual,arithmetic,"""粘土200gのうち4分の3を使って小像を作った。残りは別に保管する。""",小像に使った粘土の量を選ぶ。,"{""option_0"": ""50g"", ""option_1"": ""150g"", ""option_2"": ""200g""}","""option_1"""
manual_v2_choice_010,choice,manual,arithmetic,"{""飾りひも"": {""一束の本数"": 5, ""束の数"": 2, ""追加するばらの本数"": 3}}",全部のひもの数を選ぶ。,"{""option_0"": ""7本"", ""option_1"": ""13本"", ""option_2"": ""10本"", ""option_3"": ""15本""}","""option_1"""
