id,source,type,family,gold,predicted,max_probability,entropy_confidence,gold_nll,score_mae,state,instructions,criteria
v2-gen-score-07-024,generated,score,証拠の最高到達段階,0,1,0.9986743001618464,0.9854162830441553,6.625814779243315,0.9986743001618464,この調査固有の証拠段階表: 口頭メモは段階1。青空で得られた証拠はなし。複数ある場合は最大の段階を使い、なければ0です。,この調査の証拠段階を選んでください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1""]"
v2-gen-score-07-038,generated,score,証拠の最高到達段階,0,1,0.9972971079593216,0.9730466958269289,5.913432953041004,0.9972971079593216,この調査固有の証拠段階表: 写真記録は段階1。木漏れ日で得られた証拠はなし。複数ある場合は最大の段階を使い、なければ0です。,この調査の証拠段階を選んでください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1""]"
v2-gen-choice-12-007,generated,choice,条件付き不足書類,承認書,申込書,0.9776361885524646,0.8966052527146102,3.8888490357220054,,書類確認の優先順は申込書→承認書。申込書だけは代理申請の場合に限って必要で、それ以外は常に必要です。今回は本人申請。提出済みはなしです。,申請区分に応じて必要書類を確認し、最優先で追加提出を求めるものを答えてください。なければ追加不要です。,"{""承認書"": ""承認書"", ""申込書"": ""申込書"", ""追加不要"": ""必要書類はすべて提出済み""}"
v2-gen-score-13-027,generated,score,取消しを反映した件数,3,4,0.9712216802262121,0.9005774743882154,3.978741070488619,0.9524737934076137,"{""催し"": ""白波"", ""申込み"": [{""氏名"": ""石田"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""渡辺"", ""受付済み"": false, ""取消済み"": false}, {""氏名"": ""中村"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""大野"", ""受付済み"": false, ""取消済み"": false}, {""氏名"": ""遠藤"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""木村"", ""受付済み"": false, ""取消済み"": false}], ""まとめ方"": ""4件以上は段階4""}",現在有効な申込みだけを数えて評価してください。,"[""有効申込みが0件"", ""有効申込みが1件"", ""有効申込みが2件"", ""有効申込みが3件"", ""有効申込みが4件以上""]"
v2-gen-score-14-014,generated,score,参照表の順序尺度,3,4,0.9517625283193113,0.8510335809314228,4.9399780016073205,0.9366622780257181,"{""検査対象"": ""青空"", ""今回の対応表"": {""紫"": 0, ""黒"": 1, ""黄"": 2, ""茶"": 3, ""青"": 4, ""赤"": 5}, ""確定票の印"": ""茶""}",一般常識ではなく示された表に従って段階を答えてください。,"[""表による段階0"", ""表による段階1"", ""表による段階2"", ""表による段階3"", ""表による段階4"", ""表による段階5""]"
v2-gen-score-07-036,generated,score,証拠の最高到達段階,5,4,0.9510463999509169,0.8654518624229351,3.831222768874607,0.9699107865976897,"{""調査"": ""木漏れ日"", ""この調査の証拠段階"": {""一次資料"": 1, ""写真記録"": 2, ""立会記録"": 3, ""監査記録"": 4, ""口頭メモ"": 5, ""署名済み文書"": 6}, ""得られた証拠"": [""監査記録"", ""一次資料"", ""立会記録"", ""口頭メモ"", ""写真記録""], ""集約規則"": ""得られた段階の最大。証拠なしは0""}",明示された段階表だけで証拠を評価してください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1"", ""表に基づく最高証拠段階2"", ""表に基づく最高証拠段階3"", ""表に基づく最高証拠段階4"", ""表に基づく最高証拠段階5"", ""表に基づく最高証拠段階6""]"
v2-gen-choice-12-014,generated,choice,条件付き不足書類,委任状,申込書,0.9470832926220927,0.8551024730742042,4.34933218370728,,書類確認の優先順は申込書→委任状→見積書→同意書→受領票→承認書。申込書だけは代理申請の場合に限って必要で、それ以外は常に必要です。今回は本人申請。提出済みはなしです。,必要な不足書類を先頭から一つだけ案内します。どれですか。必要書類に不足がなければ追加不要です。,"{""受領票"": ""受領票"", ""同意書"": ""同意書"", ""委任状"": ""委任状"", ""承認書"": ""承認書"", ""申込書"": ""申込書"", ""見積書"": ""見積書"", ""追加不要"": ""必要書類はすべて提出済み""}"
v2-gen-score-11-015,generated,score,時刻順の評価更新,2,5,0.939928303046243,0.8439004897826228,3.3687772195694006,2.8596753463585642,木漏れ日の評価更新履歴: 19時に段階2、11時に段階3、18時に段階5。評価は最新時刻の値だけを採用します。,最後に更新された有効な段階はいくつですか。,"[""評価段階0"", ""評価段階1"", ""評価段階2"", ""評価段階3"", ""評価段階4"", ""評価段階5"", ""評価段階6""]"
v2-gen-score-11-044,generated,score,時刻順の評価更新,4,5,0.9333540691960468,0.8268323039287373,3.640345235038859,0.8988370679074835,白波の評価更新履歴: 20時に段階1、21時に段階4、9時に段階5。評価は最新時刻の値だけを採用します。,履歴の記載順に惑わされず、最新評価を答えてください。,"[""評価段階0"", ""評価段階1"", ""評価段階2"", ""評価段階3"", ""評価段階4"", ""評価段階5"", ""評価段階6"", ""評価段階7""]"
manual_v2_choice_060,manual,choice,arithmetic,option_3,option_0,0.923017247709284,0.7840836710812125,2.9975982543141733,,パズルで1手進めるごとに2点得る。4手進めてから罠で3点失い、ほかに加減点はない。,この間の得点の増加を選ぶ。,"{""option_0"": ""3点"", ""option_1"": ""4点"", ""option_2"": ""6点"", ""option_3"": ""5点"", ""option_4"": ""8点""}"
